;Annee;Region;Ville;Moyenne Annuel
0;2014;Ile-de-France;Paris;74.08467344668679
1;2015;Ile-de-France;Paris;72.89114183307733
2;2016;Ile-de-France;Paris;69.22876035100727
3;2017;Ile-de-France;Paris;51.25596075071882
4;2018;Ile-de-France;Paris;64.3380120327701
5;2019;Ile-de-France;Paris;59.39374679979519
6;2020;Ile-de-France;Paris;51.30113706587567
7;2021;Ile-de-France;Paris;53.32011008704557
8;2022;Ile-de-France;Paris;62.044450844854076
9;2014;Ile-de-France;Saint-Denis;79.49193349753693
10;2015;Ile-de-France;Saint-Denis;76.63259706552255
11;2016;Ile-de-France;Saint-Denis;66.75213199851687
12;2017;Ile-de-France;Saint-Denis;50.514924825274285
13;2018;Ile-de-France;Saint-Denis;50.3432001165316
14;2019;Ile-de-France;Saint-Denis;55.9821558786659
15;2020;Ile-de-France;Saint-Denis;56.05448889418577
16;2021;Ile-de-France;Saint-Denis;60.11971966205837
17;2022;Ile-de-France;Saint-Denis;64.1547619047619
18;2014;Centre-Val de Loire;Tours;46.70276945894298
19;2015;Centre-Val de Loire;Tours;47.14087301587302
20;2016;Centre-Val de Loire;Tours;41.64697724102618
21;2017;Centre-Val de Loire;Tours;43.13823407775021
22;2018;Centre-Val de Loire;Tours;38.371082949308764
23;2019;Centre-Val de Loire;Tours;38.26219918074757
24;2020;Centre-Val de Loire;Tours;34.32543910243206
25;2021;Centre-Val de Loire;Tours;33.67664490527394
26;2022;Centre-Val de Loire;Tours;44.8310291858679
27;2014;Centre-Val de Loire;Orleans;24.857142857142858
28;2015;Centre-Val de Loire;Orleans;0.0
29;2016;Centre-Val de Loire;Orleans;0.0
30;2017;Centre-Val de Loire;Orleans;0.0
31;2018;Centre-Val de Loire;Orleans;23.82915329937438
32;2019;Centre-Val de Loire;Orleans;34.67224121540125
33;2020;Centre-Val de Loire;Orleans;32.850778642936596
34;2021;Centre-Val de Loire;Orleans;36.149503416494525
35;2022;Centre-Val de Loire;Orleans;56.23675115207374
36;2018;Bourgogne-Franche-Comte;Dijon;32.32834799608993
37;2019;Bourgogne-Franche-Comte;Dijon;10.205062724014338
38;2020;Bourgogne-Franche-Comte;Dijon;28.65383732869596
39;2021;Bourgogne-Franche-Comte;Dijon;30.01972125112559
40;2022;Bourgogne-Franche-Comte;Dijon;41.382738095238096
41;2014;Bourgogne-Franche-Comte;Besancon;54.58782265194945
42;2015;Bourgogne-Franche-Comte;Besancon;52.46321044546851
43;2016;Bourgogne-Franche-Comte;Besancon;46.00801772692762
44;2017;Bourgogne-Franche-Comte;Besancon;43.946889282081166
45;2018;Bourgogne-Franche-Comte;Besancon;47.4501472094214
46;2019;Bourgogne-Franche-Comte;Besancon;34.731712607384644
47;2020;Bourgogne-Franche-Comte;Besancon;32.40923778522731
48;2021;Bourgogne-Franche-Comte;Besancon;34.520589995154324
49;2022;Bourgogne-Franche-Comte;Besancon;46.22728494623656
50;2014;Normandie;Havre;39.509983535497994
51;2015;Normandie;Havre;37.83878648233487
52;2016;Normandie;Havre;38.3519587460494
53;2017;Normandie;Havre;10.78452807646356
54;2018;Normandie;Havre;37.25115749734332
55;2019;Normandie;Havre;34.48402218378581
56;2020;Normandie;Havre;31.400869131486484
57;2021;Normandie;Havre;43.29104533459372
58;2022;Normandie;Havre;47.085253456221196
59;2014;Normandie;Rouen;46.7597279605205
60;2015;Normandie;Rouen;46.16774762473687
61;2016;Normandie;Rouen;38.42377987593505
62;2017;Normandie;Rouen;10.308243727598565
63;2018;Normandie;Rouen;38.359059228066464
64;2019;Normandie;Rouen;42.78948324416901
65;2020;Normandie;Rouen;35.596044988258555
66;2021;Normandie;Rouen;43.68089477726574
67;2022;Normandie;Rouen;50.17607526881721
68;2014;Hauts-de-France;Lille;57.47813708353196
69;2015;Hauts-de-France;Lille;53.61524283867164
70;2016;Hauts-de-France;Lille;53.469174049048185
71;2017;Hauts-de-France;Lille;3.0416666666666665
72;2018;Hauts-de-France;Lille;56.03230734767025
73;2019;Hauts-de-France;Lille;47.169831014472294
74;2020;Hauts-de-France;Lille;12.086795652925417
75;2021;Hauts-de-France;Lille;49.3001848080257
76;2022;Hauts-de-France;Lille;35.4
77;2014;Hauts-de-France;Amiens;40.190409238822866
78;2015;Hauts-de-France;Amiens;45.14781455363974
79;2016;Hauts-de-France;Amiens;42.43446244550733
80;2017;Hauts-de-France;Amiens;18.489748677248677
81;2018;Hauts-de-France;Amiens;15.423207885304661
82;2019;Hauts-de-France;Amiens;42.80085267679354
83;2020;Hauts-de-France;Amiens;9.522832224238757
84;2021;Hauts-de-France;Amiens;44.94447993248048
85;2022;Hauts-de-France;Amiens;49.898992707947095
86;2014;Grand Est;Reims;45.95142309797483
87;2015;Grand Est;Reims;45.76929756167872
88;2016;Grand Est;Reims;42.23020328591334
89;2017;Grand Est;Reims;33.65407954998008
90;2018;Grand Est;Reims;40.90151806850917
91;2019;Grand Est;Reims;42.78684097851229
92;2020;Grand Est;Reims;37.91172290198986
93;2021;Grand Est;Reims;41.46714027245636
94;2022;Grand Est;Reims;50.64506528417818
95;2014;Grand Est;Mulhouse;44.118673967547714
96;2015;Grand Est;Mulhouse;48.8210189452125
97;2016;Grand Est;Mulhouse;45.94644048943271
98;2017;Grand Est;Mulhouse;49.10176995943126
99;2018;Grand Est;Mulhouse;49.04032898105479
100;2019;Grand Est;Mulhouse;46.65356971198647
101;2020;Grand Est;Mulhouse;44.153210357187
102;2021;Grand Est;Mulhouse;43.384187015555206
103;2022;Grand Est;Mulhouse;51.3181643625192
104;2014;Pays de la Loire;Nantes;41.54053246994015
105;2015;Pays de la Loire;Nantes;48.95667851361255
106;2016;Pays de la Loire;Nantes;48.25357770636784
107;2017;Pays de la Loire;Nantes;37.36476964976687
108;2018;Pays de la Loire;Nantes;35.75523509366669
109;2019;Pays de la Loire;Nantes;37.52949948796722
110;2020;Pays de la Loire;Nantes;36.202533679396865
111;2021;Pays de la Loire;Nantes;36.625627240143366
112;2022;Pays de la Loire;Nantes;42.33851766513057
113;2014;Pays de la Loire;Angers;44.89792229461306
114;2015;Pays de la Loire;Angers;44.89618260932685
115;2016;Pays de la Loire;Angers;43.956938706146154
116;2017;Pays de la Loire;Angers;41.382837809206
117;2018;Pays de la Loire;Angers;37.31166838815616
118;2019;Pays de la Loire;Angers;35.68561739675477
119;2020;Pays de la Loire;Angers;34.04423433444568
120;2021;Pays de la Loire;Angers;37.441973886328725
121;2022;Pays de la Loire;Angers;43.37087173579109
122;2014;Bretagne;Rennes;42.648762170587354
123;2015;Bretagne;Rennes;32.99919522561951
124;2016;Bretagne;Rennes;50.6069794437768
125;2017;Bretagne;Rennes;42.051550155443365
126;2018;Bretagne;Rennes;42.78361862975322
127;2019;Bretagne;Rennes;27.75186251920123
128;2020;Bretagne;Rennes;31.56550179211469
129;2021;Bretagne;Rennes;34.266441230016504
130;2022;Bretagne;Rennes;42.69306835637481
131;2014;Bretagne;Brest;47.25733133817116
132;2015;Bretagne;Brest;35.02160582434498
133;2016;Bretagne;Brest;25.23777654183661
134;2017;Bretagne;Brest;29.720658128486274
135;2018;Bretagne;Brest;31.55181146138808
136;2019;Bretagne;Brest;25.681833504010925
137;2020;Bretagne;Brest;25.77847608453838
138;2021;Bretagne;Brest;27.752627012573246
139;2022;Bretagne;Brest;32.45698924731183
140;2014;Nouvelle-Aquitaine;Talence;45.23427617988242
141;2015;Nouvelle-Aquitaine;Talence;46.32035971773458
142;2016;Nouvelle-Aquitaine;Talence;42.128161901955
143;2017;Nouvelle-Aquitaine;Talence;9.018939393939394
144;2018;Nouvelle-Aquitaine;Talence;40.46384937782296
145;2019;Nouvelle-Aquitaine;Talence;36.410746287762414
146;2020;Nouvelle-Aquitaine;Talence;36.30676677790138
147;2021;Nouvelle-Aquitaine;Talence;38.17692608188993
148;2022;Nouvelle-Aquitaine;Talence;46.38300691244239
149;2014;Nouvelle-Aquitaine;Poitier;41.96566445928933
150;2015;Nouvelle-Aquitaine;Poitier;48.98994305842469
151;2016;Nouvelle-Aquitaine;Poitier;39.79272812923629
152;2017;Nouvelle-Aquitaine;Poitier;18.94003456221198
153;2018;Nouvelle-Aquitaine;Poitier;37.71938942337923
154;2019;Nouvelle-Aquitaine;Poitier;36.8167209597966
155;2020;Nouvelle-Aquitaine;Poitier;32.741592272515526
156;2021;Nouvelle-Aquitaine;Poitier;37.131719326588616
157;2022;Nouvelle-Aquitaine;Poitier;46.85426267281106
158;2014;Occitanie;Toulouse;39.70383046010966
159;2015;Occitanie;Toulouse;42.470280470363896
160;2016;Occitanie;Toulouse;36.57075145223087
161;2017;Occitanie;Toulouse;37.174195517743904
162;2018;Occitanie;Toulouse;39.487064772145416
163;2019;Occitanie;Toulouse;36.85600689478609
164;2020;Occitanie;Toulouse;37.98082437275986
165;2021;Occitanie;Toulouse;37.811403322916114
166;2022;Occitanie;Toulouse;45.252016129032256
167;2014;Occitanie;Montpellier;55.13391084155823
168;2015;Occitanie;Montpellier;52.72807239657444
169;2016;Occitanie;Montpellier;56.44107650475837
170;2017;Occitanie;Montpellier;54.823428180244925
171;2018;Occitanie;Montpellier;51.7735354097145
172;2019;Occitanie;Montpellier;31.078009177202727
173;2020;Occitanie;Montpellier;30.35910687933306
174;2021;Occitanie;Montpellier;28.349808698867836
175;2022;Occitanie;Montpellier;41.738287250384026
176;2014;Auvergne-Rhone-Alpes;Lyon;49.79607371408169
177;2015;Auvergne-Rhone-Alpes;Lyon;52.056372772866546
178;2016;Auvergne-Rhone-Alpes;Lyon;51.23143704645373
179;2017;Auvergne-Rhone-Alpes;Lyon;51.43384660235327
180;2018;Auvergne-Rhone-Alpes;Lyon;43.9260196514646
181;2019;Auvergne-Rhone-Alpes;Lyon;40.98462224340978
182;2020;Auvergne-Rhone-Alpes;Lyon;41.824119391916945
183;2021;Auvergne-Rhone-Alpes;Lyon;25.68403737839222
184;2022;Auvergne-Rhone-Alpes;Lyon;55.681259600614446
185;2014;Auvergne-Rhone-Alpes;Saint-etienne;37.8152393017521
186;2015;Auvergne-Rhone-Alpes;Saint-etienne;28.747479922925596
187;2016;Auvergne-Rhone-Alpes;Saint-etienne;31.79634205554672
188;2017;Auvergne-Rhone-Alpes;Saint-etienne;32.93159359900183
189;2018;Auvergne-Rhone-Alpes;Saint-etienne;34.51869772998805
190;2019;Auvergne-Rhone-Alpes;Saint-etienne;31.577374551971328
191;2020;Auvergne-Rhone-Alpes;Saint-etienne;29.61318749227537
192;2021;Auvergne-Rhone-Alpes;Saint-etienne;32.646733329394614
193;2022;Auvergne-Rhone-Alpes;Saint-etienne;46.619388004468654
194;2014;Provence-Alpes-Cote d'Azur;Marseille;53.49630541871921
195;2015;Provence-Alpes-Cote d'Azur;Marseille;61.21114930837348
196;2016;Provence-Alpes-Cote d'Azur;Marseille;49.27676577098035
197;2017;Provence-Alpes-Cote d'Azur;Marseille;56.767733201814536
198;2018;Provence-Alpes-Cote d'Azur;Marseille;48.71606309275942
199;2019;Provence-Alpes-Cote d'Azur;Marseille;45.40001125589279
200;2020;Provence-Alpes-Cote d'Azur;Marseille;41.1799806222081
201;2021;Provence-Alpes-Cote d'Azur;Marseille;43.26864328972226
202;2022;Provence-Alpes-Cote d'Azur;Marseille;50.81966205837173
203;2014;Provence-Alpes-Cote d'Azur;Nice;51.28817733990148
204;2015;Provence-Alpes-Cote d'Azur;Nice;51.840100648949374
205;2016;Provence-Alpes-Cote d'Azur;Nice;41.392134539489085
206;2017;Provence-Alpes-Cote d'Azur;Nice;41.70989786093143
207;2018;Provence-Alpes-Cote d'Azur;Nice;45.820629952484786
208;2019;Provence-Alpes-Cote d'Azur;Nice;41.74558109769999
209;2020;Provence-Alpes-Cote d'Azur;Nice;39.113811642565814
210;2021;Provence-Alpes-Cote d'Azur;Nice;39.9736201599661
211;2022;Provence-Alpes-Cote d'Azur;Nice;45.57935867895545
212;2014;Corse;Bastia;42.18487737697971
213;2015;Corse;Bastia;36.74256780020128
214;2016;Corse;Bastia;33.93383902134954
215;2017;Corse;Bastia;37.70744367639529
216;2018;Corse;Bastia;33.55325832481284
217;2019;Corse;Bastia;34.401178737889815
218;2020;Corse;Bastia;35.059068744738006
219;2021;Corse;Bastia;25.864021389788324
220;2022;Corse;Bastia;31.839089850499587
